file,ID,angDist,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,main_type,other_types,radvel,redshift,sp_type,morph_type,plx,pmra,pmdec,size_maj,size_min,size_angle,B,V,R,J,H,K,u,g,r,i,z,RA,DEC,signal,A,B,gamma,gammadot,K,lnBFmax,Popt
S7/tess2019006130736-s0007-0000000005277975-0131-s_lc.dat,TIC5277975,1.618258,HD  59984,113.0240129924,-8.8813259293,0,0,90,181,07 32 05.76312,-08 52 52.7733,PM*,UV |** |IR |*  |PM*|*,54.85,NA,G0VFe-1.6CH-0.5,NA,34.794,-92.18,-167.93,NA,NA,NA,6.431,5.916,NA,5.092,4.58,4.48,NA,NA,NA,NA,NA,113.023560199189,-8.881282,sig1,11.4258227639608,-4.95383652160958,-2.05573727756539,0.157391202738861,12.4535104334592,1025.79739483134,10.5577719247346
S7/tess2019006130736-s0007-0000000005277975-0131-s_lc.dat,TIC5277975,1.618258,HD  59984,113.0240129924,-8.8813259293,0,0,90,181,07 32 05.76312,-08 52 52.7733,PM*,UV |** |IR |*  |PM*|*,54.85,NA,G0VFe-1.6CH-0.5,NA,34.794,-92.18,-167.93,NA,NA,NA,6.431,5.916,NA,5.092,4.58,4.48,NA,NA,NA,NA,NA,113.023560199189,-8.881282,sig2,-9.58406878187002,-5.42735279555777,1.69093758452067,-0.0971776571332586,11.0141060818872,801.399614492727,4.91786323934972
S7/tess2019006130736-s0007-0000000005277975-0131-s_lc.dat,TIC5277975,1.618258,HD  59984,113.0240129924,-8.8813259293,0,0,90,181,07 32 05.76312,-08 52 52.7733,PM*,UV |** |IR |*  |PM*|*,54.85,NA,G0VFe-1.6CH-0.5,NA,34.794,-92.18,-167.93,NA,NA,NA,6.431,5.916,NA,5.092,4.58,4.48,NA,NA,NA,NA,NA,113.023560199189,-8.881282,sig3,0.935867293847145,-7.82120316613604,2.03924991567762,-0.141239043972542,7.87699603641319,419.474713670521,6.27530901173174
S7/tess2019006130736-s0007-0000000005280409-0131-s_lc.dat,TIC5280409,2.412408,UCAC4 411-033155,113.0146297672,-7.8714495999,0,0,90,2,07 32 03.51114,-07 52 17.2186,PM*,IR |PM*|*  |PM*,57.56,NA,,NA,21.2428,-118.16,99.21,NA,NA,NA,NA,12.886,12.417,9.796,9.173,8.98,NA,13.634,12.251,11.428,NA,113.013955195856,-7.8715,sig1,30.0063417069564,-23.1210261670909,3.73484978908517,-0.263490276242454,37.8808974768805,17230.100596105,7.36468705397645
S7/tess2019006130736-s0007-0000000005280409-0131-s_lc.dat,TIC5280409,2.412408,UCAC4 411-033155,113.0146297672,-7.8714495999,0,0,90,2,07 32 03.51114,-07 52 17.2186,PM*,IR |PM*|*  |PM*,57.56,NA,,NA,21.2428,-118.16,99.21,NA,NA,NA,NA,12.886,12.417,9.796,9.173,8.98,NA,13.634,12.251,11.428,NA,113.013955195856,-7.8715,sig2,8.98233924662965,13.3190916176443,-2.72097662403018,0.221520329867087,16.0648877948384,3250.81722896439,5.08155149672116
S7/tess2019006130736-s0007-0000000005280409-0131-s_lc.dat,TIC5280409,2.412408,UCAC4 411-033155,113.0146297672,-7.8714495999,0,0,90,2,07 32 03.51114,-07 52 17.2186,PM*,IR |PM*|*  |PM*,57.56,NA,,NA,21.2428,-118.16,99.21,NA,NA,NA,NA,12.886,12.417,9.796,9.173,8.98,NA,13.634,12.251,11.428,NA,113.013955195856,-7.8715,sig3,-9.7492187246982,-3.46246592168038,0.0635920057850743,-0.0521757836924324,10.3458173191297,1232.36251933969,6.07316882499921
S7/tess2019006130736-s0007-0000000005282182-0131-s_lc.dat,TIC5282182,2.318021,UCAC4 411-033083,112.969207176,-7.8099850453,0,0,90,3,07 31 52.60972,-07 48 35.9462,PM*,PM*|IR |PM*|*  |PM*,56.75,NA,,NA,21.2845,-118.34,98.62,NA,NA,NA,NA,12.594,12.133,9.601,8.984,8.787,NA,13.323,11.961,11.206,NA,112.968557427902,-7.81,sig1,-2.66097750074309,2.17064783079393,-0.749133422131316,0.0606442070538675,3.43402289811692,185.04197756834,11.3546033012274
S7/tess2019006130736-s0007-0000000005282182-0131-s_lc.dat,TIC5282182,2.318021,UCAC4 411-033083,112.969207176,-7.8099850453,0,0,90,3,07 31 52.60972,-07 48 35.9462,PM*,PM*|IR |PM*|*  |PM*,56.75,NA,,NA,21.2845,-118.34,98.62,NA,NA,NA,NA,12.594,12.133,9.601,8.984,8.787,NA,13.323,11.961,11.206,NA,112.968557427902,-7.81,sig2,-0.717204749341805,2.49313372273708,-0.131583312287585,0.00936930983391655,2.59424332165032,110.117136746935,5.58567763362298
S7/tess2019006130736-s0007-0000000005282182-0131-s_lc.dat,TIC5282182,2.318021,UCAC4 411-033083,112.969207176,-7.8099850453,0,0,90,3,07 31 52.60972,-07 48 35.9462,PM*,PM*|IR |PM*|*  |PM*,56.75,NA,,NA,21.2845,-118.34,98.62,NA,NA,NA,NA,12.594,12.133,9.601,8.984,8.787,NA,13.323,11.961,11.206,NA,112.968557427902,-7.81,sig3,1.24183014553013,0.285511178168681,-0.108245737637753,-0.00137714418795678,1.27422868560029,16.7090253947716,7.92052459180527
S7/tess2019006130736-s0007-0000000006274566-0131-s_lc.dat,TIC6274566,2.239134,WISEA J081121.09-220127.2,122.8374723714,-22.0234365044,0,0,90,1,08 11 20.99337,-22 01 24.3714,PM*,IR |PM*|IR,NA,NA,,NA,29.2619,129.87,-272.13,NA,NA,NA,NA,NA,NA,11.898,11.241,10.91,NA,NA,NA,NA,NA,122.838142154421,-22.0234,sig1,24.1780508552455,-56.1669316475348,-8.51714120160381,1.00254071390196,61.149835272531,12827.0930190837,9.65395317803321
